STATE/UT,Year,CAUSE,Male,Female, Total Students
KARNATAKA,2018,Student,400,355,755
KERALA,2018,Student,177,198,375
MADHYA PRADESH,2018,Student,373,489,862
MAHARASHTRA,2018,Student,804,644,1448
MANIPUR,2018,Student,10,4,14
MEGHALAYA,2018,Student,26,17,43
MIZORAM,2018,Student,3,3,6
NAGALAND,2018,Student,3,1,4
ODISHA,2018,Student,238,263,501
PUNJAB,2018,Student,74,41,115
RAJASTHAN,2018,Student,221,137,358
SIKKIM,2018,Student,14,12,26
TAMIL NADU,2018,Student,467,486,953
TELANGANA,2018,Student,232,196,428
TRIPURA,2018,Student,36,35,71
UTTAR PRADESH,2018,Student,307,206,513
UTTARAKHAND,2018,Student,9,23,32
WEST BENGAL,2018,Student,292,317,609
TOTAL (STATES),2018,Student,5193,4628,9821
A & N ISLANDS,2018,Student,5,9,14
CHANDIGARH,2018,Student,16,7,23
D & N HAVELI,2018,Student,6,9,15
DAMAN & DIU,2018,Student,5,2,7
DELHI (UT),2018,Student,98,105,203
LAKSHADWEEP,2018,Student,0,0,0
PUDUCHERRY,2018,Student,46,30,76
TOTAL (UTS),2018,Student,176,162,338
TOTAL (ALL INDIA),2018,Student,5369,4790,10159
ANDHRA PRADESH,2019,Student,247,136,383
ARUNACHAL PRADESH,2019,Student,22,15,37
ASSAM,2019,Student,236,121,357
BIHAR,2019,Student,100,66,166
CHHATTISGARH,2019,Student,269,234,503
GOA,2019,Student,21,14,35
GUJARAT,2019,Student,266,309,575
HARYANA,2019,Student,123,56,179
HIMACHAL PRADESH,2019,Student,55,35,90
JAMMU & KASHMIR,2019,Student,22,33,55
JHARKHAND,2019,Student,326,201,527
KARNATAKA,2019,Student,340,333,673
KERALA,2019,Student,211,207,418
MADHYA PRADESH,2019,Student,425,502,927
MAHARASHTRA,2019,Student,815,671,1486
MANIPUR,2019,Student,3,9,12
MEGHALAYA,2019,Student,20,11,31
MIZORAM,2019,Student,4,3,7
NAGALAND,2019,Student,6,2,8
ODISHA,2019,Student,195,184,379
PUNJAB,2019,Student,74,47,121
RAJASTHAN,2019,Student,297,172,469
SIKKIM,2019,Student,21,11,32
TAMIL NADU,2019,Student,438,476,914
TELANGANA,2019,Student,249,177,426
TRIPURA,2019,Student,44,46,90
UTTAR PRADESH,2019,Student,323,280,603
UTTARAKHAND,2019,Student,33,21,54
WEST BENGAL,2019,Student,188,233,421
TOTAL (STATES),2019,Student,5373,4605,9978
A & N ISLANDS,2019,Student,2,5,7
CHANDIGARH,2019,Student,10,10,20
D & N HAVELI,2019,Student,13,10,23
DAMAN & DIU,2019,Student,4,6,10
DELHI (UT),2019,Student,114,104,218
LAKSHADWEEP,2019,Student,0,0,0
PUDUCHERRY,2019,Student,46,32,78
TOTAL (UTS),2019,Student,189,167,356
TOTAL (ALL INDIA),2019,Student,5562,4772,10334
ANDHRA PRADESH,2020,Student,231,238,469
ARUNACHAL PRADESH,2020,Student,12,20,32
ASSAM,2020,Student,227,163,390
BIHAR,2020,Student,103,89,192
CHHATTISGARH,2020,Student,290,257,547
GOA,2020,Student,14,5,19
GUJARAT,2020,Student,277,320,597
HARYANA,2020,Student,165,92,257
HIMACHAL PRADESH,2020,Student,48,54,102
JHARKHAND,2020,Student,518,186,704
KARNATAKA,2020,Student,349,340,689
KERALA,2020,Student,226,242,468
MADHYA PRADESH,2020,Student,516,642,1158
MAHARASHTRA,2020,Student,890,758,1648
MANIPUR,2020,Student,4,8,12
MEGHALAYA,2020,Student,23,26,49
MIZORAM,2020,Student,7,5,12
NAGALAND,2020,Student,8,5,13
ODISHA,2020,Student,1042,427,1469
PUNJAB,2020,Student,100,94,194
RAJASTHAN,2020,Student,348,234,582
SIKKIM,2020,Student,35,20,55
TAMIL NADU,2020,Student,402,528,930
TELANGANA,2020,Student,305,184,489
TRIPURA,2020,Student,53,54,107
UTTAR PRADESH,2020,Student,307,110,417
UTTARAKHAND,2020,Student,61,47,108
WEST BENGAL,2020,Student,133,190,323
TOTAL (STATES),2020,Student,6694,5338,12032
A & N ISLANDS,2020,Student,3,10,13
CHANDIGARH,2020,Student,9,12,21
D & N HAVELI,2020,Student,13,7,20
DELHI (UT),2020,Student,191,152,343
JAMMU & KASHMIR,2020,Student,19,22,41
LADAKH,2020,Student,3,1,4
LAKSHADWEEP,2020,Student,0,0,0
PUDUCHERRY,2020,Student,35,17,52
TOTAL (UTS),2020,Student,273,221,494
TOTAL (ALL INDIA),2020,Student,6967,5559,12526
